ID_ARTISTA,NOME,GENERO,PAIS,QTD_MEMBROS
1,Black Sabbath,Heavy Metal,UK,4
2,Iron Maiden,Heavy Metal,UK,6
3,Knocked Loose,Hardcore,US,5
4,King Gizzard and the Lizard Wizard,Rock Psicodélico,AU,6
5,Misfits,Punk,US,5
6,Harry Styles,Pop Rock,UK,1
7,Death,Death Metal,US,4
8,Alice in Chains,Grunge,US,4
9,Converge,Metalcore,US,4
10,Bathory,Black Metal,SE,1
11,Amon Amarth,Death Metal Melódico,SE,5
12,Arch Enemy,Death Metal Melódico,SE,5
13,Animals as Leaders,Djent,US,3
14,Rush,Rock Progressivo,CA,3
15,Tricot,Math Rock,JP,4
16,The Smiths,Post Punk,UK,4
17,Pink Floyd,Rock Progressivo,UK,4
18,King Crimson,Rock Progressivo,UK,7
19,Slipknot,New Metal,US,9
20,In Flames,Death Metal Melódico,SE,4
