nome_banda,nome_album,nota,ano,votes,minha_nota
Iron Maiden,Senjutsu,3.5,2021,435 Votes,You: 3.5
Iron Maiden,The Book of Souls,3.8,2015,"1,293 Votes",You: 3.5
Iron Maiden,The Final Frontier,3.5,2010,"1,840 Votes",You: 4
Iron Maiden,A Matter of Life and Death,3.8,2006,"2,250 Votes",You: 4.5
Iron Maiden,Dance of Death,3.6,2003,"2,010 Votes",You: 3.5
Iron Maiden,Brave New World,4.1,2000,"2,564 Votes",You: 4.5
Iron Maiden,Virtual XI,2.5,1998,"1,535 Votes",You: 1.5
Iron Maiden,The X Factor,2.8,1995,"1,543 Votes",You: 4.5
Iron Maiden,Fear of the Dark,3.3,1992,"2,275 Votes",You: 3
Iron Maiden,No Prayer for the Dying,2.8,1990,"1,712 Votes",You: 2
Iron Maiden,Seventh Son of a Seventh Son,4.4,1988,"3,177 Votes",You: 5
Iron Maiden,Somewhere in Time,4.2,1986,"2,891 Votes",You: 5
Iron Maiden,Powerslave,4.5,1984,"4,267 Votes",You: 4
Iron Maiden,Piece of Mind,4.2,1983,"3,300 Votes",You: 4.5
Iron Maiden,The Number of the Beast,4.4,1982,"4,562 Votes",You: 5
Iron Maiden,Killers,4,1981,"2,833 Votes",You: 3.5
Iron Maiden,Iron Maiden,4.1,1980,"2,977 Votes",You: 3.5
Iron Maiden,Empire of the Clouds,4.1,2016,41 Votes,
Iron Maiden,No More Lies,3.5,2004,50 Votes,
Iron Maiden,Maiden Japan,3.9,1981,151 Votes,
Iron Maiden,Live!! + One,3.3,1980,37 Votes,
Iron Maiden,The Soundhouse Tapes,3.5,1979,117 Votes,
Iron Maiden,Nights of the Dead: Live in Mexico City,3.3,2020,28 Votes,
Iron Maiden,Senjutsu,3.5,2021,435 Votes,You: 3.5
Iron Maiden,The Book of Souls: Live Chapter,3.8,2017,41 Votes,
Iron Maiden,Maiden England '88 (DVD),4.3,03/25/2013,78 Votes,
Iron Maiden,En Vivo! (DVD),4.1,03/27/2012,71 Votes,
Iron Maiden,En Vivo!,3.9,03/26/2012,98 Votes,
Iron Maiden,Flight 666: The Original Soundtrack,3.9,2009,140 Votes,
Iron Maiden,The Book of Souls,3.8,2015,"1,293 Votes",You: 3.5
Iron Maiden,The Final Frontier,3.5,2010,"1,840 Votes",You: 4
Iron Maiden,A Matter of Life and Death,3.8,2006,"2,250 Votes",You: 4.5
Iron Maiden,Dance of Death,3.6,2003,"2,010 Votes",You: 3.5
Iron Maiden,Flight 666 (DVD),4.3,2009,197 Votes,
Iron Maiden,Death on the Road (DVD),4,2006,55 Votes,
Iron Maiden,Death on the Road,3.9,2005,271 Votes,
Iron Maiden,The Early Days,4.6,2004,35 Votes,
Iron Maiden,Beast Over Hammersmith,4.3,2002,74 Votes,
Iron Maiden,BBC Archives,3.9,2002,36 Votes,
Iron Maiden,Brave New World,4.1,2000,"2,564 Votes",You: 4.5
Iron Maiden,Virtual XI,2.5,1998,"1,535 Votes",You: 1.5
Iron Maiden,The X Factor,2.8,1995,"1,543 Votes",You: 4.5
Iron Maiden,Fear of the Dark,3.3,1992,"2,275 Votes",You: 3
Iron Maiden,No Prayer for the Dying,2.8,1990,"1,712 Votes",You: 2
Iron Maiden,Rock in Rio (DVD),4.5,2002,254 Votes,
Iron Maiden,Rock in Rio,4.3,2002,405 Votes,
Iron Maiden,A Real Live Dead One,3.2,1998,152 Votes,
Iron Maiden,Raising Hell,3.2,1994,27 Votes,
Iron Maiden,Donington Live 1992,3.1,1993,23 Votes,
Iron Maiden,Seventh Son of a Seventh Son,4.4,1988,"3,177 Votes",You: 5
Iron Maiden,Somewhere in Time,4.2,1986,"2,891 Votes",You: 5
Iron Maiden,Powerslave,4.5,1984,"4,267 Votes",You: 4
Iron Maiden,Piece of Mind,4.2,1983,"3,300 Votes",You: 4.5
Iron Maiden,The Number of the Beast,4.4,1982,"4,562 Votes",You: 5
Iron Maiden,Live at Donington,3.5,1993,167 Votes,
Iron Maiden,A Real Dead One,3.2,1993,100 Votes,
Iron Maiden,A Real Live One,3.2,1993,99 Votes,
Iron Maiden,Maiden England '88,4.1,1989,129 Votes,
Iron Maiden,12 Wasted Years,4.3,1987,16 Votes,
Iron Maiden,Live After Death (DVD),4.5,1985,221 Votes,
Iron Maiden,Live After Death,4.6,1985,684 Votes,
Iron Maiden,Maiden Japan (Complete Concert),4.3,1981,41 Votes,
Iron Maiden,Killers,4,1981,"2,833 Votes",You: 3.5
Iron Maiden,Iron Maiden,4.1,1980,"2,977 Votes",You: 3.5
Iron Maiden,Empire of the Clouds,4.1,2016,41 Votes,
Iron Maiden,No More Lies,3.5,2004,50 Votes,
Iron Maiden,Maiden Japan,3.9,1981,151 Votes,
Iron Maiden,Live!! + One,3.3,1980,37 Votes,
Iron Maiden,The Soundhouse Tapes,3.5,1979,117 Votes,
Iron Maiden,Nights of the Dead: Live in Mexico City,3.3,2020,28 Votes,
Iron Maiden,Live at the Rainbow,4.3,1981,36 Votes,
Iron Maiden,Legacy of the Beast Official Soundtrack,4.5,2016,3 Votes,
Iron Maiden,From Fear To Eternity,3.9,2011,67 Votes,
Iron Maiden,Somewhere Back in Time,3.9,2008,157 Votes,
Iron Maiden,The Essential Iron Maiden,3.7,2005,63 Votes,
Iron Maiden,Visions of the Beast,3.9,2003,24 Votes,
Iron Maiden,Edward the Great,3.9,2002,243 Votes,
Iron Maiden,Eddie's Archive,4,2002,23 Votes,
Iron Maiden,Best of the B'Sides,3.7,2002,61 Votes,
Iron Maiden,The Book of Souls: Live Chapter,3.8,2017,41 Votes,
Iron Maiden,Maiden England '88 (DVD),4.3,03/25/2013,78 Votes,
Iron Maiden,En Vivo! (DVD),4.1,03/27/2012,71 Votes,
Iron Maiden,En Vivo!,3.9,03/26/2012,98 Votes,
Iron Maiden,Flight 666: The Original Soundtrack,3.9,2009,140 Votes,
Iron Maiden,Flight 666 (DVD),4.3,2009,197 Votes,
Iron Maiden,Death on the Road (DVD),4,2006,55 Votes,
Iron Maiden,Death on the Road,3.9,2005,271 Votes,
Iron Maiden,The Early Days,4.6,2004,35 Votes,
Iron Maiden,Ed Hunter,3.5,1999,45 Votes,
Iron Maiden,Best of the Beast,4.2,1996,229 Votes,
Iron Maiden,The First Ten Years,4.5,1990,22 Votes,
Iron Maiden,Beast Over Hammersmith,4.3,2002,74 Votes,
Iron Maiden,BBC Archives,3.9,2002,36 Votes,
Iron Maiden,Rock in Rio (DVD),4.5,2002,254 Votes,
Iron Maiden,Rock in Rio,4.3,2002,405 Votes,
Iron Maiden,A Real Live Dead One,3.2,1998,152 Votes,
Iron Maiden,Raising Hell,3.2,1994,27 Votes,
Iron Maiden,Donington Live 1992,3.1,1993,23 Votes,
Iron Maiden,Live at Donington,3.5,1993,167 Votes,
Iron Maiden,A Real Dead One,3.2,1993,100 Votes,
